cod.,Country,Code,Year,Cellular Subscription C/100,Internet Users(%),No. of Internet Users,Broadband Subscription
0,Afghanistan,AFG,1980,"0,00","0,0000%",0,"0,0000"
1,Afghanistan,AFG,1981,"0,00","0,0000%",0,"0,0000"
2,Afghanistan,AFG,1982,"0,00","0,0000%",0,"0,0000"
3,Afghanistan,AFG,1983,"0,00","0,0000%",0,"0,0000"
4,Afghanistan,AFG,1984,"0,00","0,0000%",0,"0,0000"
5,Afghanistan,AFG,1985,"0,00","0,0000%",0,"0,0000"
6,Afghanistan,AFG,1986,"0,00","0,0000%",0,"0,0000"
7,Afghanistan,AFG,1987,"0,00","0,0000%",0,"0,0000"
8,Afghanistan,AFG,1988,"0,00","0,0000%",0,"0,0000"
9,Afghanistan,AFG,1989,"0,00","0,0000%",0,"0,0000"
10,Afghanistan,AFG,1990,"0,00","0,0000%",0,"0,0000"
11,Afghanistan,AFG,1991,"0,00","0,0000%",0,"0,0000"
12,Afghanistan,AFG,1992,"0,00","0,0000%",0,"0,0000"
13,Afghanistan,AFG,1993,"0,00","0,0000%",0,"0,0000"
14,Afghanistan,AFG,1994,"0,00","0,0000%",0,"0,0000"
15,Afghanistan,AFG,1995,"0,00","0,0000%",0,"0,0000"
16,Afghanistan,AFG,1996,"0,00","0,0000%",0,"0,0000"
17,Afghanistan,AFG,1997,"0,00","0,0000%",0,"0,0000"
18,Afghanistan,AFG,1998,"0,00","0,0000%",0,"0,0000"
19,Afghanistan,AFG,1999,"0,00","0,0000%",0,"0,0000"
20,Afghanistan,AFG,2000,"0,00","0,0000%",0,"0,0000"
21,Afghanistan,AFG,2001,"0,00","0,4723%",930,"0,0000"
22,Afghanistan,AFG,2002,"0,11","0,4561%",958,"0,0000"
23,Afghanistan,AFG,2003,"0,84","8,7891%",19.903,"0,0000"
24,Afghanistan,AFG,2004,"2,43","10,5809%",24.922,"0,0008"
25,Afghanistan,AFG,2005,"4,68","122,4148%",298.829,"0,0009"
26,Afghanistan,AFG,2006,"9,53","210,7124%",536.114,"0,0019"
27,Afghanistan,AFG,2007,"17,23","190,0000%",492.163,"0,0018"
28,Afghanistan,AFG,2008,"28,49","184,0000%",486.261,"0,0018"
29,Afghanistan,AFG,2009,"36,98","355,0000%",972.178,"0,0035"
30,Afghanistan,AFG,2010,"35,00","400,0000%",1.127.587,"0,0051"
31,Afghanistan,AFG,2011,"45,81","500,0000%",1.462.458,"0,0000"
32,Afghanistan,AFG,2012,"49,23","545,4545%",1.661.808,"0,0048"
33,Afghanistan,AFG,2013,"52,08","590,0000%",1.860.932,"0,0046"
34,Afghanistan,AFG,2014,"55,16","700,0000%",2.290.135,"0,0045"
35,Afghanistan,AFG,2015,"57,27","826,0000%",2.788.039,"0,0205"
36,Afghanistan,AFG,2016,"61,05","1100,0000%",3.809.983,"0,0249"
37,Afghanistan,AFG,2017,"65,93","1350,0000%",4.811.862,"0,0253"
38,Afghanistan,AFG,2018,"59,12","1679,9999%",6.163.380,"0,0430"
39,Afghanistan,AFG,2019,"59,36","1760,0000%",6.647.431,"0,0517"
40,Afghanistan,AFG,2020,"58,26","1840,0000%",7.170.891,"0,0683"
41,Albania,ALB,1980,"0,00","0,0000%",0,"0,0000"
42,Albania,ALB,1981,"0,00","0,0000%",0,"0,0000"
43,Albania,ALB,1982,"0,00","0,0000%",0,"0,0000"
44,Albania,ALB,1983,"0,00","0,0000%",0,"0,0000"
45,Albania,ALB,1984,"0,00","0,0000%",0,"0,0000"
46,Albania,ALB,1985,"0,00","0,0000%",0,"0,0000"
47,Albania,ALB,1986,"0,00","0,0000%",0,"0,0000"
48,Albania,ALB,1987,"0,00","0,0000%",0,"0,0000"
49,Albania,ALB,1988,"0,00","0,0000%",0,"0,0000"
50,Albania,ALB,1989,"0,00","0,0000%",0,"0,0000"
51,Albania,ALB,1990,"0,00","0,0000%",0,"0,0000"
52,Albania,ALB,1991,"0,00","0,0000%",0,"0,0000"
53,Albania,ALB,1992,"0,00","0,0000%",0,"0,0000"
54,Albania,ALB,1993,"0,00","0,0000%",0,"0,0000"
55,Albania,ALB,1994,"0,00","0,0000%",0,"0,0000"
56,Albania,ALB,1995,"0,00","1,1169%",367,"0,0000"
57,Albania,ALB,1996,"0,07","3,2197%",1.053,"0,0000"
58,Albania,ALB,1997,"0,11","4,8594%",1.581,"0,0000"
59,Albania,ALB,1998,"0,18","6,5027%",2.102,"0,0000"
60,Albania,ALB,1999,"0,35","8,1437%",2.613,"0,0000"
61,Albania,ALB,2000,"0,95","11,4097%",3.631,"0,0000"
62,Albania,ALB,2001,"12,55","32,5798%",10.274,"0,0000"
63,Albania,ALB,2002,"27,22","39,0081%",12.184,"0,0000"
64,Albania,ALB,2003,"35,28","97,1900%",30.061,"0,0000"
65,Albania,ALB,2004,"40,57","242,0388%",74.127,"0,0000"
66,Albania,ALB,2005,"49,57","604,3891%",183.289,"0,0088"
67,Albania,ALB,2006,"62,35","960,9991%",288.626,"0,0000"
68,Albania,ALB,2007,"76,55","1503,6116%",447.488,"0,3296"
69,Albania,ALB,2008,"61,93","2386,0001%",704.273,"2,1314"
70,Albania,ALB,2009,"82,87","4120,0001%",1.207.388,"3,0945"
71,Albania,ALB,2010,"91,33","4500,0000%",1.311.031,"3,5800"
72,Albania,ALB,2011,"105,85","4700,0000%",1.363.310,"4,3779"
73,Albania,ALB,2012,"120,11","4940,0002%",1.428.742,"5,4936"
74,Albania,ALB,2013,"126,94","5179,9999%",1.495.476,"6,2868"
75,Albania,ALB,2014,"116,00","5429,9999%",1.566.066,"7,1803"
76,Albania,ALB,2015,"117,66","5690,0002%",1.640.132,"8,4023"
77,Albania,ALB,2016,"116,74","5959,9998%",1.717.114,"9,2286"
78,Albania,ALB,2017,"125,71","6240,0002%",1.796.721,"10,5268"
79,Albania,ALB,2018,"94,18","6540,0002%",1.881.570,"12,5557"
80,Albania,ALB,2019,"91,29","6855,0392%",1.970.058,"15,1407"
81,Albania,ALB,2020,"91,00","7223,9998%",2.071.012,"17,6850"
82,Algeria,DZA,1980,"0,00","0,0000%",0,"0,0000"
83,Algeria,DZA,1981,"0,00","0,0000%",0,"0,0000"
84,Algeria,DZA,1982,"0,00","0,0000%",0,"0,0000"
85,Algeria,DZA,1983,"0,00","0,0000%",0,"0,0000"
86,Algeria,DZA,1984,"0,00","0,0000%",0,"0,0000"
87,Algeria,DZA,1985,"0,00","0,0000%",0,"0,0000"
88,Algeria,DZA,1986,"0,00","0,0000%",0,"0,0000"
89,Algeria,DZA,1987,"0,00","0,0000%",0,"0,0000"
90,Algeria,DZA,1988,"0,00","0,0000%",0,"0,0000"
91,Algeria,DZA,1989,"0,00","0,0000%",0,"0,0000"
92,Algeria,DZA,1990,"0,00","0,0000%",0,"0,0000"
93,Algeria,DZA,1991,"0,02","0,0000%",0,"0,0000"
94,Algeria,DZA,1992,"0,02","0,0000%",0,"0,0000"
95,Algeria,DZA,1993,"0,02","0,0000%",0,"0,0000"
96,Algeria,DZA,1994,"0,00","0,0361%",101,"0,0000"
97,Algeria,DZA,1995,"0,02","0,1769%",504,"0,0000"
98,Algeria,DZA,1996,"0,04","0,1739%",504,"0,0000"
99,Algeria,DZA,1997,"0,06","1,0268%",3.027,"0,0000"
100,Algeria,DZA,1998,"0,06","2,0239%",6.056,"0,0000"
101,Algeria,DZA,1999,"0,24","19,9524%",60.548,"0,0000"
102,Algeria,DZA,2000,"0,28","49,1706%",151.321,"0,0000"
103,Algeria,DZA,2001,"0,32","64,6114%",201.594,"0,0000"
104,Algeria,DZA,2002,"1,41","159,1641%",503.352,"0,0000"
105,Algeria,DZA,2003,"4,48","219,5360%",703.742,"0,0558"
106,Algeria,DZA,2004,"14,93","463,4475%",1.506.676,"0,1101"
107,Algeria,DZA,2005,"41,21","584,3942%",1.925.970,"0,4072"
108,Algeria,DZA,2006,"62,42","737,5985%",2.466.167,"0,5053"
109,Algeria,DZA,2007,"80,67","945,1191%",3.211.877,"0,8401"
110,Algeria,DZA,2008,"77,83","1018,0000%",3.519.185,"1,3965"
111,Algeria,DZA,2009,"92,63","1123,0000%",3.952.515,"2,3151"
112,Algeria,DZA,2010,"91,11","1250,0000%",4.482.044,"2,5016"
113,Algeria,DZA,2011,"97,15","1490,0000%",5.444.989,"2,6752"
114,Algeria,DZA,2012,"100,38","1820,0001%",6.781.424,"3,0889"
115,Algeria,DZA,2013,"103,61","2250,0000%",8.550.141,"3,3560"
116,Algeria,DZA,2014,"111,24","2950,0000%",11.434.250,"4,1098"
117,Algeria,DZA,2015,"108,81","3820,0001%",15.105.483,"5,7122"
118,Algeria,DZA,2016,"116,00","4294,5526%",17.323.937,"7,0517"
119,Algeria,DZA,2017,"110,77","4769,1055%",19.618.454,"7,7563"
120,Algeria,DZA,2018,"111,66","4903,8467%",20.560.362,"7,2629"
121,Algeria,DZA,2019,"105,51","5790,0002%",24.726.411,"8,3217"
122,Algeria,DZA,2020,"103,89","6290,0002%",27.331.100,"8,6439"
123,American Samoa,ASM,1980,"0,00","0,0000%",0,"0,0000"
124,American Samoa,ASM,1981,"0,00","0,0000%",0,"0,0000"
125,American Samoa,ASM,1982,"0,00","0,0000%",0,"0,0000"
126,American Samoa,ASM,1983,"0,00","0,0000%",0,"0,0000"
127,American Samoa,ASM,1984,"0,00","0,0000%",0,"0,0000"
128,American Samoa,ASM,1985,"0,00","0,0000%",0,"0,0000"
129,American Samoa,ASM,1986,"0,00","0,0000%",0,"0,0000"
130,American Samoa,ASM,1990,"0,00","0,0000%",0,"0,0000"
131,American Samoa,ASM,1991,"0,00","0,0000%",0,"0,0000"
132,American Samoa,ASM,1992,"1,40","0,0000%",0,"0,0000"
133,American Samoa,ASM,1993,"1,76","0,0000%",0,"0,0000"
134,American Samoa,ASM,1994,"2,30","0,0000%",0,"0,0000"
135,American Samoa,ASM,1995,"2,35","0,0000%",0,"0,0000"
136,American Samoa,ASM,1996,"2,40","0,0000%",0,"0,0000"
137,American Samoa,ASM,1997,"2,54","0,0000%",0,"0,0000"
138,American Samoa,ASM,1998,"2,67","0,0000%",0,"0,0000"
139,American Samoa,ASM,1999,"3,15","0,0000%",0,"0,0000"
140,American Samoa,ASM,2000,"3,45","0,0000%",0,"0,0000"
141,American Samoa,ASM,2001,"3,69","0,0000%",0,"0,0000"
142,American Samoa,ASM,2002,"3,45","0,0000%",0,"0,0000"
143,American Samoa,ASM,2003,"3,53","0,0000%",0,"0,0000"
144,American Samoa,ASM,2004,"3,77","0,0000%",0,"0,0000"
145,Andorra,AND,1980,"0,00","0,0000%",0,"0,0000"
146,Andorra,AND,1981,"0,00","0,0000%",0,"0,0000"
147,Andorra,AND,1982,"0,00","0,0000%",0,"0,0000"
148,Andorra,AND,1983,"0,00","0,0000%",0,"0,0000"
149,Andorra,AND,1984,"0,00","0,0000%",0,"0,0000"
150,Andorra,AND,1985,"0,00","0,0000%",0,"0,0000"
151,Andorra,AND,1986,"0,00","0,0000%",0,"0,0000"
152,Andorra,AND,1987,"0,00","0,0000%",0,"0,0000"
153,Andorra,AND,1988,"0,00","0,0000%",0,"0,0000"
154,Andorra,AND,1989,"0,00","0,0000%",0,"0,0000"
155,Andorra,AND,1990,"0,00","0,0000%",0,"0,0000"
156,Andorra,AND,1991,"0,00","0,0000%",0,"0,0000"
157,Andorra,AND,1992,"1,31","0,0000%",0,"0,0000"
158,Andorra,AND,1993,"1,28","0,0000%",0,"0,0000"
159,Andorra,AND,1994,"1,25","0,0000%",0,"0,0000"
160,Andorra,AND,1995,"4,42","0,0000%",0,"0,0000"
161,Andorra,AND,1996,"8,53","152,6601%",980,"0,0000"
162,Andorra,AND,1997,"13,40","305,0175%",1.974,"0,0000"
163,Andorra,AND,1998,"22,01","688,6209%",4.490,"0,0000"
164,Andorra,AND,1999,"32,00","763,5686%",5.015,"0,0000"
165,Andorra,AND,2000,"36,00","1053,8836%",6.968,"0,0000"
166,Andorra,AND,2001,"43,70","0,0000%",0,"0,0000"
167,Andorra,AND,2002,"46,81","1126,0468%",7.980,"1,6389"
168,Andorra,AND,2003,"70,91","1354,6412%",10.015,"4,9206"
169,Andorra,AND,2004,"76,55","2683,7954%",20.652,"8,2393"
170,Andorra,AND,2005,"81,86","3760,5766%",30.026,"13,1119"
171,Andorra,AND,2006,"85,20","4893,6848%",39.267,"18,0460"
172,Andorra,AND,2007,"76,80","7087,0003%",55.411,"22,4058"
173,Andorra,AND,2008,"76,56","7004,0001%",53.282,"24,6500"
174,Andorra,AND,2009,"76,42","7852,9999%",58.017,"27,1610"
175,Andorra,AND,2010,"77,56","8100,0000%",57.949,"29,0140"
176,Andorra,AND,2011,"77,67","8100,0000%",57.175,"30,7629"
177,Andorra,AND,2012,"77,48","8269,9997%",58.746,"32,6410"
178,Andorra,AND,2013,"79,15","8440,0002%",60.249,"34,3353"
179,Andorra,AND,2014,"83,62","8609,9998%",61.685,"36,3198"
180,Andorra,AND,2015,"91,44","8790,0002%",63.082,"39,3457"
181,Andorra,AND,2016,"98,49","8969,9997%",65.089,"42,0327"
182,Andorra,AND,2017,"104,33","9156,7467%",67.625,"44,5241"
183,Andorra,AND,2018,"107,28","0,0000%",0,"46,3120"
184,Andorra,AND,2019,"113,96","0,0000%",0,"47,1313"
185,Andorra,AND,2020,"121,66","0,0000%",0,"47,8871"
186,Angola,AGO,1980,"0,00","0,0000%",0,"0,0000"
187,Angola,AGO,1981,"0,00","0,0000%",0,"0,0000"
188,Angola,AGO,1982,"0,00","0,0000%",0,"0,0000"
189,Angola,AGO,1983,"0,00","0,0000%",0,"0,0000"
190,Angola,AGO,1984,"0,00","0,0000%",0,"0,0000"
191,Angola,AGO,1985,"0,00","0,0000%",0,"0,0000"
192,Angola,AGO,1986,"0,00","0,0000%",0,"0,0000"
193,Angola,AGO,1987,"0,00","0,0000%",0,"0,0000"
194,Angola,AGO,1988,"0,00","0,0000%",0,"0,0000"
195,Angola,AGO,1989,"0,00","0,0000%",0,"0,0000"
196,Angola,AGO,1990,"0,00","0,0000%",0,"0,0000"
197,Angola,AGO,1991,"0,00","0,0000%",0,"0,0000"
198,Angola,AGO,1992,"0,00","0,0000%",0,"0,0000"
199,Angola,AGO,1993,"0,01","0,0000%",0,"0,0000"
200,Angola,AGO,1994,"0,01","0,0000%",0,"0,0000"
201,Angola,AGO,1995,"0,01","0,0000%",0,"0,0000"
202,Angola,AGO,1996,"0,02","0,0776%",112,"0,0000"
203,Angola,AGO,1997,"0,05","0,5674%",844,"0,0000"
204,Angola,AGO,1998,"0,06","1,8454%",2.836,"0,0000"
205,Angola,AGO,1999,"0,15","7,1964%",11.421,"0,0000"
206,Angola,AGO,2000,"0,16","10,5046%",17.221,"0,0000"
207,Angola,AGO,2001,"0,44","13,6014%",23.043,"0,0000"
208,Angola,AGO,2002,"0,80","27,0377%",47.360,"0,0000"
209,Angola,AGO,2003,"1,93","37,0682%",67.184,"0,0000"
210,Angola,AGO,2004,"3,94","46,4815%",87.251,"0,0000"
211,Angola,AGO,2005,"8,29","114,3367%",222.396,"0,0000"
212,Angola,AGO,2006,"15,16","150,0000%",302.435,"0,0370"
213,Angola,AGO,2007,"23,73","170,0000%",355.465,"0,0560"
214,Angola,AGO,2008,"31,22","190,0000%",412.139,"0,0735"
215,Angola,AGO,2009,"36,02","230,0000%",517.676,"0,0666"
216,Angola,AGO,2010,"40,26","280,0000%",654.197,"0,0642"
217,Angola,AGO,2011,"49,85","470,0000%",1.140.179,"0,0653"
218,Angola,AGO,2012,"50,92","770,0000%",1.939.499,"0,0817"
219,Angola,AGO,2013,"51,07","1300,0000%",3.399.112,"0,0856"
220,Angola,AGO,2014,"52,16","2140,0000%",5.805.465,"0,3257"
221,Angola,AGO,2015,"49,79","2200,0000%",6.188.099,"0,5507"
222,Angola,AGO,2016,"45,08","2320,0001%",6.763.900,"0,2937"
223,Angola,AGO,2017,"44,69","2600,0000%",7.854.245,"0,3250"
224,Angola,AGO,2018,"43,13","2900,0000%",9.069.326,"0,3556"
225,Angola,AGO,2019,"46,60","3240,0002%",10.482.564,"0,3741"
226,Angola,AGO,2020,"44,56","3600,0000%",12.034.256,"0,7017"
227,Antigua and Barbuda,ATG,1980,"0,00","0,0000%",0,"0,0000"
228,Antigua and Barbuda,ATG,1981,"0,00","0,0000%",0,"0,0000"
229,Antigua and Barbuda,ATG,1982,"0,00","0,0000%",0,"0,0000"
230,Antigua and Barbuda,ATG,1983,"0,00","0,0000%",0,"0,0000"
231,Antigua and Barbuda,ATG,1984,"0,00","0,0000%",0,"0,0000"
232,Antigua and Barbuda,ATG,1985,"0,00","0,0000%",0,"0,0000"
233,Antigua and Barbuda,ATG,1986,"0,00","0,0000%",0,"0,0000"
234,Antigua and Barbuda,ATG,1987,"0,00","0,0000%",0,"0,0000"
235,Antigua and Barbuda,ATG,1988,"0,00","0,0000%",0,"0,0000"
236,Antigua and Barbuda,ATG,1990,"0,00","0,0000%",0,"0,0000"
237,Antigua and Barbuda,ATG,1996,"1,85","285,8449%",1.996,"0,0000"
238,Antigua and Barbuda,ATG,1997,"1,95","348,0537%",2.479,"0,0000"
239,Antigua and Barbuda,ATG,1998,"2,05","407,1716%",2.956,"0,0000"
240,Antigua and Barbuda,ATG,1999,"11,38","530,0681%",3.914,"0,0000"
241,Antigua and Barbuda,ATG,2000,"28,94","648,2226%",4.866,"0,0000"
242,Antigua and Barbuda,ATG,2001,"32,38","889,9285%",6.784,"0,0000"
243,Antigua and Barbuda,ATG,2002,"48,80","1250,0000%",9.652,"0,0000"
244,Antigua and Barbuda,ATG,2003,"58,13","1722,8649%",13.455,"0,0000"
245,Antigua and Barbuda,ATG,2004,"67,22","2426,6544%",19.160,"2,0688"
246,Antigua and Barbuda,ATG,2005,"105,57","2700,0000%",21.567,"7,1208"
247,Antigua and Barbuda,ATG,2006,"133,22","3000,0000%",24.273,"1,8633"
248,Antigua and Barbuda,ATG,2007,"133,75","3400,0000%",27.892,"2,6968"
249,Antigua and Barbuda,ATG,2008,"159,95","3800,0000%",31.641,"5,8386"
250,Antigua and Barbuda,ATG,2009,"155,54","4200,0000%",35.509,"18,4608"
251,Antigua and Barbuda,ATG,2010,"190,81","4700,0000%",40.284,"8,0872"
252,Antigua and Barbuda,ATG,2011,"197,20","5200,0000%",45.109,"6,7225"
253,Antigua and Barbuda,ATG,2012,"140,89","5800,0000%",50.859,"14,4565"
254,Antigua and Barbuda,ATG,2013,"124,96","6340,0002%",56.117,"17,0976"
255,Antigua and Barbuda,ATG,2014,"129,69","6777,9999%",60.495,"11,6182"
256,Antigua and Barbuda,ATG,2015,"188,10","7000,0000%",62.971,"10,6876"
257,Antigua and Barbuda,ATG,2016,"190,42","7300,0000%",66.120,"9,7972"
258,Antigua and Barbuda,ATG,2017,"192,82","0,0000%",0,"9,4314"
259,Antigua and Barbuda,ATG,2019,"189,46","0,0000%",0,"8,2374"
260,Antigua and Barbuda,ATG,2020,"187,89","0,0000%",0,"8,1692"
261,Argentina,ARG,1980,"0,00","0,0000%",0,"0,0000"
262,Argentina,ARG,1981,"0,00","0,0000%",0,"0,0000"
263,Argentina,ARG,1982,"0,00","0,0000%",0,"0,0000"
264,Argentina,ARG,1983,"0,00","0,0000%",0,"0,0000"
265,Argentina,ARG,1984,"0,00","0,0000%",0,"0,0000"
266,Argentina,ARG,1985,"0,00","0,0000%",0,"0,0000"
267,Argentina,ARG,1986,"0,00","0,0000%",0,"0,0000"
268,Argentina,ARG,1987,"0,00","0,0000%",0,"0,0000"
269,Argentina,ARG,1988,"0,00","0,0000%",0,"0,0000"
270,Argentina,ARG,1989,"0,01","0,0000%",0,"0,0000"
271,Argentina,ARG,1990,"0,04","0,0000%",0,"0,0000"
272,Argentina,ARG,1991,"0,08","0,0000%",0,"0,0000"
273,Argentina,ARG,1992,"0,14","0,2993%",1.005,"0,0000"
274,Argentina,ARG,1993,"0,33","2,9527%",10.047,"0,0000"
275,Argentina,ARG,1994,"0,70","4,3706%",15.074,"0,0000"
276,Argentina,ARG,1995,"1,16","8,6277%",30.150,"0,0000"
277,Argentina,ARG,1996,"1,89","14,1955%",50.237,"0,0000"
278,Argentina,ARG,1997,"5,63","28,0340%",100.406,"0,0000"
279,Argentina,ARG,1998,"7,41","83,0767%",301.013,"0,0000"
280,Argentina,ARG,1999,"10,55","328,4482%",1.203.862,"0,0000"
281,Argentina,ARG,2000,"17,60","703,8683%",2.609.294,"0,0000"
282,Argentina,ARG,2001,"18,09","978,0807%",3.665.895,"0,2522"
